 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
     1     1     1  2001      10      10  cha010               0.1564E+00     0.1596E-02     0.3119E-04     0.1564E-03     0.4132E+04     0.2723E+01     0.1669E+01     0.1009E+00     0.1948E+00     0.3495E-01     0.3601E-01     0.0000E+00     0.0000E+00     0.2489E+05     0.1085E+00     0.1957E+01     0.2306E+00     0.1857E+00     0.1857E+01     0.1202E+01     0.0000E+00     0.1103E+02     0.4015E+01     0.2286E+03     0.1401E+03     0.8467E+01     0.1635E+02     0.2934E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9111E+01     0.1643E+03     0.1936E+02     0.1559E+02     0.1559E+03     0.1009E+03     0.0000E+00     0.1103E+02     0.4024E+01     0.2320E+03     0.1393E+03     0.8430E+01     0.1637E+02     0.2989E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1002E+02     0.1637E+03     0.1946E+02     0.1569E+02     0.1569E+03     0.1010E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      11      11  cha011               0.9812E+00     0.1001E-01     0.1956E-03     0.9812E-03     0.2362E+03     0.1574E+00     0.8767E-01     0.5284E-02     0.1058E-01     0.2008E-02     0.2084E-02     0.0000E+00     0.0000E+00     0.1440E+04     0.6244E-02     0.1074E+00     0.1197E-01     0.9233E-02     0.9232E-01     0.6327E-01     0.0000E+00     0.1103E+02     0.3967E+01     0.2283E+03     0.1272E+03     0.7665E+01     0.1536E+02     0.2914E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9059E+01     0.1558E+03     0.1736E+02     0.1339E+02     0.1339E+03     0.9180E+02     0.0000E+00     0.1103E+02     0.3967E+01     0.2285E+03     0.1272E+03     0.7663E+01     0.1536E+02     0.2917E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9111E+01     0.1558E+03     0.1736E+02     0.1340E+02     0.1340E+03     0.9179E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      12      12  cha012               0.1323E+00     0.1350E-02     0.2639E-04     0.1323E-03     0.2690E+03     0.1815E+00     0.1008E+00     0.6055E-02     0.1189E-01     0.2207E-02     0.2405E-02     0.0000E+00     0.0000E+00     0.1662E+04     0.7159E-02     0.1239E+00     0.1380E-01     0.1064E-01     0.1064E+00     0.7299E-01     0.0000E+00     0.1103E+02     0.3914E+01     0.2282E+03     0.1268E+03     0.7613E+01     0.1494E+02     0.2774E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9001E+01     0.1558E+03     0.1735E+02     0.1338E+02     0.1338E+03     0.9176E+02     0.0000E+00     0.1103E+02     0.3915E+01     0.2283E+03     0.1267E+03     0.7610E+01     0.1494E+02     0.2777E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9059E+01     0.1558E+03     0.1735E+02     0.1338E+02     0.1338E+03     0.9175E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      13      13  cha013               0.7385E-01     0.7533E-03     0.1472E-04     0.7385E-04     0.2406E+03     0.1814E+00     0.9884E-01     0.5891E-02     0.9218E-02     0.1633E-02     0.2497E-02     0.0000E+00     0.0000E+00     0.1726E+04     0.7383E-02     0.1242E+00     0.1407E-01     0.1095E-01     0.1095E+00     0.7395E-01     0.0000E+00     0.1103E+02     0.3372E+01     0.2196E+03     0.1197E+03     0.7133E+01     0.1116E+02     0.1977E+01     0.3024E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.8939E+01     0.1504E+03     0.1703E+02     0.1326E+02     0.1326E+03     0.8954E+02     0.0000E+00     0.1103E+02     0.3372E+01     0.2198E+03     0.1196E+03     0.7130E+01     0.1116E+02     0.1978E+01     0.3023E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.9001E+01     0.1503E+03     0.1703E+02     0.1326E+02     0.1326E+03     0.8953E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      14      14  cha014               0.9871E-01     0.1007E-02     0.1968E-04     0.9871E-04     0.3630E+04     0.2721E+01     0.1509E+01     0.8985E-01     0.1395E+00     0.2440E-01     0.3789E-01     0.0000E+00     0.0000E+00     0.2618E+05     0.1006E+00     0.1892E+01     0.2124E+00     0.1652E+00     0.1652E+01     0.1122E+01     0.0000E+00     0.1103E+02     0.3355E+01     0.2173E+03     0.1205E+03     0.7174E+01     0.1114E+02     0.1948E+01     0.3025E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.8032E+01     0.1511E+03     0.1696E+02     0.1319E+02     0.1319E+03     0.8959E+02     0.0000E+00     0.1103E+02     0.3359E+01     0.2196E+03     0.1196E+03     0.7131E+01     0.1114E+02     0.1969E+01     0.3024E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.8939E+01     0.1504E+03     0.1703E+02     0.1326E+02     0.1326E+03     0.8953E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      15      15  cha015               0.4825E+00     0.4922E-02     0.9621E-04     0.4825E-03     0.3617E+04     0.2696E+01     0.1524E+01     0.9059E-01     0.1392E+00     0.2381E-01     0.3799E-01     0.0000E+00     0.0000E+00     0.2624E+05     0.8991E-01     0.1906E+01     0.2120E+00     0.1646E+00     0.1646E+01     0.1125E+01     0.0000E+00     0.1103E+02     0.3335E+01     0.2148E+03     0.1214E+03     0.7217E+01     0.1109E+02     0.1897E+01     0.3026E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.7163E+01     0.1518E+03     0.1689E+02     0.1312E+02     0.1311E+03     0.8963E+02     0.0000E+00     0.1103E+02     0.3339E+01     0.2173E+03     0.1205E+03     0.7173E+01     0.1109E+02     0.1918E+01     0.3025E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.8032E+01     0.1511E+03     0.1696E+02     0.1319E+02     0.1319E+03     0.8959E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      16      16  cha016               0.1719E+00     0.1753E-02     0.3426E-04     0.1719E-03     0.2368E+03     0.1778E+00     0.1005E+00     0.5966E-02     0.8986E-02     0.1492E-02     0.2508E-02     0.0000E+00     0.0000E+00     0.1732E+04     0.5889E-02     0.1258E+00     0.1399E-01     0.1086E-01     0.1086E+00     0.7426E-01     0.0000E+00     0.1103E+02     0.3308E+01     0.2146E+03     0.1213E+03     0.7200E+01     0.1084E+02     0.1801E+01     0.3026E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.7107E+01     0.1518E+03     0.1688E+02     0.1311E+02     0.1311E+03     0.8962E+02     0.0000E+00     0.1103E+02     0.3308E+01     0.2148E+03     0.1212E+03     0.7197E+01     0.1084E+02     0.1802E+01     0.3026E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.7163E+01     0.1518E+03     0.1689E+02     0.1311E+02     0.1311E+03     0.8961E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      17      17  cha017               0.1459E+00     0.1488E-02     0.2908E-04     0.1459E-03     0.3581E+04     0.2673E+01     0.1539E+01     0.9121E-01     0.1351E+00     0.2184E-01     0.3816E-01     0.0000E+00     0.0000E+00     0.2636E+05     0.7920E-01     0.1923E+01     0.2119E+00     0.1642E+00     0.1642E+01     0.1130E+01     0.0000E+00     0.1103E+02     0.3287E+01     0.2120E+03     0.1221E+03     0.7235E+01     0.1072E+02     0.1732E+01     0.3027E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.6282E+01     0.1526E+03     0.1680E+02     0.1303E+02     0.1303E+03     0.8964E+02     0.0000E+00     0.1103E+02     0.3291E+01     0.2146E+03     0.1212E+03     0.7190E+01     0.1072E+02     0.1749E+01     0.3026E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.7107E+01     0.1518E+03     0.1688E+02     0.1310E+02     0.1310E+03     0.8961E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      18      18  cha018               0.1933E+00     0.1972E-02     0.3854E-04     0.1933E-03     0.3566E+04     0.2649E+01     0.1527E+01     0.9033E-01     0.1332E+00     0.2159E-01     0.3827E-01     0.0000E+00     0.0000E+00     0.2642E+05     0.6952E-01     0.1919E+01     0.2071E+00     0.1590E+00     0.1590E+01     0.1114E+01     0.0000E+00     0.1103E+02     0.3265E+01     0.2096E+03     0.1208E+03     0.7146E+01     0.1054E+02     0.1708E+01     0.3027E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.5500E+01     0.1518E+03     0.1638E+02     0.1258E+02     0.1258E+03     0.8810E+02     0.0000E+00     0.1103E+02     0.3269E+01     0.2120E+03     0.1199E+03     0.7101E+01     0.1054E+02     0.1724E+01     0.3027E+01     0.0000E+00     0.0000E+00     0.2091E+07     0.6282E+01     0.1511E+03     0.1646E+02     0.1265E+02     0.1265E+03     0.8806E+02     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001      19      19  cha019               0.1606E+00     0.1639E-02     0.3203E-04     0.1606E-03     0.3473E+04     0.2648E+01     0.1546E+01     0.9121E-01     0.1210E+00     0.2078E-01     0.3871E-01     0.0000E+00     0.0000E+00     0.2672E+05     0.6081E-01     0.1951E+01     0.2084E+00     0.1598E+00     0.1598E+01     0.1127E+01     0.0000E+00     0.1103E+02     0.3143E+01     0.2070E+03     0.1209E+03     0.7131E+01     0.9463E+01     0.1624E+01     0.3027E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.4755E+01     0.1525E+03     0.1630E+02     0.1249E+02     0.1249E+03     0.8810E+02     0.0000E+00     0.1103E+02     0.3146E+01     0.2096E+03     0.1199E+03     0.7085E+01     0.9455E+01     0.1639E+01     0.3027E+01     0.0000E+00     0.0000E+00     0.2090E+07     0.5500E+01     0.1518E+03     0.1638E+02     0.1257E+02     0.1257E+03     0.8807E+02     0.0000E+00     0.1103E+02     0.1099E+02
